Delta_Fz,Delta_C3,Delta_Cz,Delta_C4,Delta_Pz,Delta_PO7,Delta_Oz,Delta_PO8,Theta_Fz,Theta_C3,Theta_Cz,Theta_C4,Theta_Pz,Theta_PO7,Theta_Oz,Theta_PO8,Alpha_Fz,Alpha_C3,Alpha_Cz,Alpha_C4,Alpha_Pz,Alpha_PO7,Alpha_Oz,Alpha_PO8,Beta_Fz,Beta_C3,Beta_Cz,Beta_C4,Beta_Pz,Beta_PO7,Beta_Oz,Beta_PO8,Gamma_Fz,Gamma_C3,Gamma_Cz,Gamma_C4,Gamma_Pz,Gamma_PO7,Gamma_Oz,Gamma_PO8,ID,Condicion,ELO,Aciertos,ELO_Cat,Aciertos_Cat
-0.3256774116072036,-0.25465194764928634,-0.4135890568207739,0.008842428288575704,-0.2104520430788067,0.026954604102899352,0.030676909048301705,0.14459856444497293,0.11971567234637409,-0.03895550687105911,0.08120176813239408,-0.16880264043130766,0.025523702047123304,-0.1262481979123655,0.11997134412389687,-0.1810281596338475,-0.1122403915953632,-0.22001258780164612,-0.17570122408963318,-0.22192882163292832,-0.13358876679196324,-0.244245726165377,-0.21890031437460086,-0.2911798929200723,0.02269043230578794,0.06296982411883965,0.09714677127802016,0.011247934176717336,0.027354933293526555,0.09154576492953016,0.11348980052377139,0.030950508566873113,0.4117788399001685,0.39528466326374645,0.42498406561517765,0.2733329930654766,0.3942944094894136,0.4280737928082409,0.45120874185327625,0.25385605174522885,13,Blanco,2150.0,4,Bueno,Bueno
-0.562546619093612,0.15884248513546084,-0.4964507546403536,-0.2887570612888316,0.22318461505117804,-0.3537386171198963,-0.45437724300426,-0.2298812984654312,-0.4546932900883709,0.23926153569562025,-0.44668252666802566,-0.15465724378771556,0.30495122620133513,-0.11364832250714252,-0.44594540597070953,-0.42381890558075036,-0.30035362234103724,-0.22434014769711783,-0.28686529204833655,-0.1443138545900264,-0.08544348345452041,-0.24220789166992363,-0.31438677860782793,-0.33021864602443374,0.10115183385661707,-0.30872333382686956,0.0475718357026716,-0.03269796837148684,-0.17483045648941037,-0.13672672610598527,-0.06569631647238239,-0.1462242648505476,-0.030913330719751123,-0.5478574780465558,-0.05355176202696734,-0.23859569578707562,-0.41003648586925046,-0.17986014988252252,-0.1616519941431846,-0.1682683126227272,14,Blanco,1730.0,4,Bueno,Bueno
0.045826095903620745,0.06655921908075695,-0.46191909737004205,0.01324503984267306,-0.00507031320219074,0.020822248095667024,0.056556811883094305,-0.13979693319727948,-0.3792867073022021,-0.32654507438343905,-0.16047079985064772,-0.18998697218730934,-0.3701956731845622,-0.24063221112066205,-0.23856530754453983,-0.3124315544979745,-0.03932927932955461,0.00823111962364588,-0.10611182409170984,0.07759496126460785,-0.0683679620951276,0.012920653614789638,0.05246353970097588,-0.11103431610355347,0.07213131426341324,0.05617206929379674,-0.10183459920632976,0.019274969358826787,0.07916315471450197,0.08539375105448213,0.009963379242788263,0.08869527754712417,0.14708547015473084,0.10987845238207604,0.034674273860471054,0.11257468894955551,0.12235272052497966,0.15348250624972362,0.09953977054197943,0.17811142089201534,15,Blanco,800.0,0,Malo,Malo
-0.3235337616600029,-0.16880474476945184,-0.49644909054686515,-0.4870698383400436,-0.07399786039275348,-0.29557369622449586,-0.316385890735162,-0.5306040993984997,0.7869419363104366,-0.02970685026408575,0.014515519286162987,-0.09499025699696158,0.1652484702434075,-0.12143119839941566,0.40808400435606673,-0.060518633329819986,0.21137541173139116,-0.18767045099121457,-0.20081726599312177,-0.2395309617282256,-0.31910358713073994,-0.18128146394988737,0.000953288301191263,-0.18342686329984553,0.0003715960666627006,-0.04665222040009907,-0.1428807177052479,-0.13077434064731533,-0.17288006163517095,0.055803366206449434,-0.03363064771787215,-0.19470076927364566,-0.014994037411150855,-0.13285622357504728,-0.2013914191608664,-0.11421057005003264,-0.09390541310825445,0.06137048434533231,0.08919232056145064,-0.09369828099177809,16,Blanco,1960.0,3,Bueno,Bueno
-0.19942725949823792,-0.3630840846176083,-0.1376001558096073,-0.152911193333215,-0.3329055881954913,-0.6374198791353953,-0.2439415519812189,0.6847588988274043,-0.22427519700646933,-0.17332421330756465,-0.2350427197560656,-0.3555011019196872,-0.40454148231392617,-0.22891665517556367,0.47728508882961596,0.9060074827179468,-0.5155947045307016,-0.47267130190258244,-0.5701719534800762,-0.5453425042183861,-0.5134120104374924,-0.6640654417042515,-0.5725784836907061,-0.7881040282228625,-0.08046957474556528,-0.0627344860632894,-0.03400765179672289,-0.0832887237808007,-0.28630022350122947,-0.061788767517335155,0.016489010826078985,-0.04982216104048853,-0.13864128486967287,-0.12960066195850709,-0.16017056617877212,-0.16346021448690037,-0.2999963381260758,-0.044982132430507166,0.1290762743171568,0.569322901901417,17,Blanco,800.0,0,Malo,Malo
0.07423227554796581,0.07934975131796275,-0.2022307128535479,1.2224288474649945,-0.2433729629255979,-0.16968208746119817,0.4014393616013868,0.5150122094208772,0.6914832428987221,0.32814615043228157,0.4826751211946085,1.3622045404068275,0.46812030453409126,0.4705519012476141,0.5254761116588941,0.5495463106431228,0.09375650668705396,0.031607419415693755,0.41719013103692715,0.4404048863881267,0.2970404137353202,-0.2191727329828265,0.01900880020575568,-0.04324130952399804,0.6003772034315505,-0.019876206690726594,0.5280259383125261,0.8297747649031332,0.4522075128012887,0.06279487133912992,0.02335875779958425,0.04428421292131561,2.2121976228461513,0.16418626115748308,1.0476661455842948,2.7491426917542343,1.05225500897763,0.7141943429567035,0.18292974085406505,0.6099366541803929,18,Blanco,1000.0,0,Malo,Malo
-0.4738930645368421,-0.1540246313482433,0.051961724892462154,-0.24271052872890356,-0.02236140790089498,-0.5764746427310872,-0.29024476078744504,-0.2317225707233705,-0.1597624948560185,0.20498849731273477,0.14254134801297758,0.21941293481364427,0.06711854013761247,-0.2618061360799008,-0.02433401992074486,-0.02663509456684191,-0.15016278475630557,-0.05371446379127508,-0.11195398861141576,-0.051475703807770556,-0.12460905123550083,-0.12980479939263598,-0.2022718108820561,-0.19500964981278918,-0.02605884355037815,0.07153100821755054,0.02271664955511761,0.018530086222661432,0.04608695268338441,0.011533512391357852,-0.14032782616834366,0.10214901391107258,-0.06205016340608558,-0.09783239321360965,-0.22571986524814303,-0.11109785022241836,-0.034652123973729146,-0.09421422499267171,-0.07101327761168058,-0.2278502241113109,20,Blanco,1700.0,2,Bueno,Bueno
-0.47978412946957594,-0.17032868373585014,-0.4601126185180939,-0.2872201986623833,-0.2766419651684962,-0.29554036661859545,-0.39574930292141786,-0.5006630625190699,-0.4870422831442307,-0.2756514743418091,-0.3486827130865353,-0.1596700690463284,-0.3996253661665572,-0.42279787426168086,-0.4850702608596945,-0.6257177235371497,-0.7366789825113578,-0.40492831636536697,-0.8331609815733312,-0.2522931247938021,-0.7523088719779114,-0.8763617520528948,-0.8353656786119119,-0.7013851408658043,-0.28384992184601665,0.009884918781738063,-0.2873822765475521,-0.13177461784991346,-0.26135603794216766,-0.39423323976796903,-0.27730266525110936,-0.25311117200068384,-0.19125520096669812,-0.14195239448834152,-0.05904544278370421,-0.03309028692320852,-0.04825038394234103,0.0986054549261341,-0.01778882230912525,-0.1707376014672187,21,Ambiental,2000.0,4,Bueno,Bueno
-0.25805856007706485,-0.1861304616155774,-0.21277352827871074,-0.19027468629294547,-0.27891453031724645,-0.297366142701458,-0.2780150648287574,-0.18918876409363533,0.14548018535090473,-0.09036152964883133,0.1521325833759466,-0.046877057469684555,-0.14598006986740109,-0.1963885395505202,-0.22342202049286253,0.03260089796207639,-0.7525416549558889,-0.8249826427614219,-0.8067273508649505,-0.7981583153250511,-0.8896206002979782,-0.8271421668500643,-0.8910711622941945,-0.7143680491453686,-0.3987196350271101,-0.4808731411965853,-0.5022942259753149,-0.4567944705581555,-0.6490849668482317,-0.4482822921681109,-0.6152097634028588,-0.13704412187090442,0.044143104970427734,-0.16078621021031692,0.09328387310037922,0.025274070944582016,-0.011010639283401447,-0.08038100614642404,-0.0324149163888368,0.48001458103903305,22,Ambiental,1100.0,1,Malo,Malo
0.3220843305585026,-0.028892035283682338,0.31643490908939964,0.2978035423812733,0.2959746855769758,0.2665392966745007,0.014758954988649941,0.2715376137447642,0.20932092519507645,-0.22931339972340375,0.12590214479976913,0.30163794266144944,-0.07529704451016499,-0.0790300570769174,0.04547919762257635,-0.13460422026040636,0.10021335827360829,-0.15421116435165866,0.17299864780252866,0.08255312711756786,-0.11106708777721831,-0.13262595502638042,-0.08999508835646655,-0.20113960239965456,0.14568438307124904,0.08628103981110997,0.14676273676270546,0.07229239443300248,0.06960449972481295,0.0709039474252599,0.015859366983770724,0.04295063626506977,0.2824927222258174,-0.08796102624792325,0.307636786857274,0.25143873539050543,-0.01771687315373069,0.01796310694382445,-0.06474587835728245,-0.042940005838553515,24,Ambiental,1250.0,2,Bueno,Bueno
