thisN,thisTrialN,thisRepN,key_instruct.keys,key_instruct.rt,key_instruct.duration,make_or_miss.keys,make_or_miss.rt,make_or_miss.duration,button_yes_make.numClicks,button_yes_make.timesOn,button_yes_make.timesOff,button_no_miss.numClicks,button_no_miss.timesOn,button_no_miss.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,key_instruct.started,intro.stopped,trials.key_instruct.keys,trials.key_instruct.rt,trials.key_instruct.duration,trial.started,beep.started,beep.stopped,trial.stopped,result.started,make_or_miss.started,text.started,button_yes_make.started,button_no_miss.started,result.stopped,trials.make_or_miss.keys,trials.make_or_miss.rt,trials.make_or_miss.duration,trials.button_yes_make.numClicks,trials.button_yes_make.timesOn,trials.button_yes_make.timesOff,trials.button_no_miss.numClicks,trials.button_no_miss.timesOn,trials.button_no_miss.timesOff,participant,session,auto_mode,date,expName,expVersion,psychopyVersion,expStart,
20,0,20,space,0.5380148999975063,None,y,1.9467990000266582,None,0,,,0,,,20,0,20,0,217.50959740002872,,,217.50275730004068,217.50959740002872,218.0623807000229,space,0.5380148999975063,None,218.071708100033,225.7096060666993,225.97427440003958,225.96387180004967,225.9642422000179,225.97427440003958,225.97427440003958,225.97427440003958,225.97427440003958,227.92786779999733,y,1.9467990000266582,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
21,0,21,space,0.46449620003113523,None,y,1.857719499967061,None,0,,,0,,,21,0,21,0,227.942744400003,,,227.93481679999968,227.942744400003,228.41253970004618,space,0.46449620003113523,None,228.4231844000169,235.95936406671925,236.22259710001526,236.21224439999787,236.21264040004462,236.22259710001526,236.22259710001526,236.22259710001526,236.22259710001526,238.09438120003324,y,1.857719499967061,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
22,0,22,space,0.45710800000233576,None,y,2.01416479999898,None,0,,,0,,,22,0,22,0,238.10924030002207,,,238.10259030002635,238.10924030002207,238.5789599000127,space,0.45710800000233576,None,238.58870550000574,246.37577456667012,246.6319383000373,246.62212030001683,246.62245640001493,246.6319383000373,246.6319383000373,246.6319383000373,246.6319383000373,248.6618680000538,y,2.01416479999898,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
23,0,23,space,0.3793699000380002,None,n,1.713402200024575,None,0,,,0,,,23,0,23,0,248.67786250001518,,,248.67327120003756,248.67786250001518,249.06153870001435,space,0.3793699000380002,None,249.07078200002434,256.5759246667187,256.83118870004546,256.8214745000005,256.8217989000259,256.83118870004546,256.83118870004546,256.83118870004546,256.83118870004546,258.56088180001825,n,1.713402200024575,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
24,0,24,space,0.4555530000361614,None,n,2.596593100053724,None,0,,,0,,,24,0,24,0,258.57572730001993,,,258.57048260001466,258.57572730001993,259.04507260001265,space,0.4555530000361614,None,259.055978999997,266.7091177667064,266.9716689000488,266.9622808000422,266.96250350004993,266.9716689000488,266.9716689000488,266.9716689000488,266.9716689000488,269.57961980003165,n,2.596593100053724,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
25,0,25,space,0.43620340002235025,None,y,1.8303729000035673,None,0,,,0,,,25,0,25,0,269.5928207000252,,,269.58883690001676,269.5928207000252,270.04493240005104,space,0.43620340002235025,None,270.054900200048,277.87555656669815,278.1318231000332,278.1211977000348,278.12155540002277,278.1318231000332,278.1318231000332,278.1318231000332,278.1318231000332,279.977672500012,y,1.8303729000035673,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
26,0,26,space,0.4389843999524601,None,n,2.657341299986001,None,0,,,0,,,26,0,26,0,279.9919818000053,,,279.98606980004115,279.9919818000053,280.4450926000136,space,0.4389843999524601,None,280.45622110000113,288.0420005666713,288.29869890003465,288.2898359000101,288.2900583000155,288.29869890003465,288.29869890003465,288.29869890003465,288.29869890003465,290.96168970002327,n,2.657341299986001,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
27,0,27,space,0.8613930999999866,None,n,2.1491642000037245,None,0,,,0,,,27,0,27,0,290.97490570001537,,,290.96932250005193,290.97490570001537,291.84440130001167,space,0.8613930999999866,None,291.8573026000522,299.3918412667156,299.64703069999814,299.64084040001035,299.64102360000834,299.64703069999814,299.64703069999814,299.64703069999814,299.64703069999814,301.81192890001694,n,2.1491642000037245,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
28,0,28,space,0.37520629999926314,None,n,2.1178283999906853,None,0,,,0,,,28,0,28,0,301.8249791000271,,,301.82048490003217,301.8249791000271,302.2112573000486,space,0.37520629999926314,None,302.22212160000345,309.87509626668566,310.12940260005416,310.1183839000296,310.11876250000205,310.12940260005416,310.12940260005416,310.12940260005416,310.12940260005416,312.26074920000974,n,2.1178283999906853,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
29,0,29,space,0.40012509998632595,None,y,1.6766914000036195,None,0,,,0,,,29,0,29,0,312.27489940001396,,,312.26916399999755,312.27489940001396,312.69256260001566,space,0.40012509998632595,None,312.7013318000245,320.3582240666767,320.6225841999985,320.61226100003114,320.61263410001993,320.6225841999985,320.6225841999985,320.6225841999985,320.6225841999985,322.3119443000178,y,1.6766914000036195,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
30,0,30,space,0.4092642000177875,None,y,1.8370520999887958,None,0,,,0,,,30,0,30,0,322.3266257000505,,,322.32194620004157,322.3266257000505,322.7429186000372,space,0.4092642000177875,None,322.75272300001234,330.3413077666812,330.6025521000265,330.5920898000477,330.5924310000264,330.6025521000265,330.6025521000265,330.6025521000265,330.6025521000265,332.4457221000339,y,1.8370520999887958,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
31,0,31,space,0.4147586000035517,None,y,1.8558535000192933,None,0,,,0,,,31,0,31,0,332.460644100036,,,332.456007700006,332.460644100036,332.8784110000124,space,0.4147586000035517,None,332.88819160003914,340.59155506670163,340.8498893000069,340.84129710000707,340.84151340002427,340.8498893000069,340.8498893000069,340.8498893000069,340.8498893000069,342.709614899999,y,1.8558535000192933,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
32,0,32,space,0.3742612999631092,None,n,2.0557774999761023,None,0,,,0,,,32,0,32,0,342.72438570001395,,,342.7181535999989,342.72438570001395,343.11036760004936,space,0.3742612999631092,None,343.1191355000483,350.74132156669316,350.99895670003025,350.98998020001454,350.99024620000273,350.99895670003025,350.99895670003025,350.99895670003025,350.99895670003025,353.059851100028,n,2.0557774999761023,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
33,0,33,space,0.48273330001393333,None,n,2.3605478000245057,None,0,,,0,,,33,0,33,0,353.07411460002186,,,353.06819700001506,353.07411460002186,353.5610152000445,space,0.48273330001393333,None,353.5708322999999,361.24104216671935,361.4990217000013,361.4890680000535,361.48942180001177,361.4990217000013,361.4990217000013,361.4990217000013,361.4990217000013,363.8759439000278,n,2.3605478000245057,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
34,0,34,space,0.5812769999611191,None,y,1.6949453999986872,None,0,,,0,,,34,0,34,0,363.8908553000074,,,363.8856882000109,363.8908553000074,364.47759240004234,space,0.5812769999611191,None,364.48863950005034,372.14080096671046,372.401365800004,372.3917103999993,372.39204710000195,372.401365800004,372.401365800004,372.401365800004,372.401365800004,374.10990090004634,y,1.6949453999986872,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
35,0,35,space,0.4746603000094183,None,n,2.350802000029944,None,0,,,0,,,35,0,35,0,374.1249695000006,,,374.12015010003233,374.1249695000006,374.6098151000333,space,0.4746603000094183,None,374.6196589000174,382.1241518667123,382.382419200032,382.37221290002344,382.3725749000441,382.382419200032,382.382419200032,382.382419200032,382.382419200032,384.7433727000025,n,2.350802000029944,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
